name,Tier,level,total-exp,web-dev,soft-dev,game-dev,cyber-secu,elective,no-of-tests,avg
Michael,s,0.0,20.0,20.0,0.0,0.0,0.0,0.0,2.0,10.0
Ashley,s,0.0,20.0,20.0,0.0,0.0,0.0,0.0,2.0,10.0
Jessica,s,0.0,19.0,19.0,0.0,0.0,0.0,0.0,2.0,9.5
Matthew,s,0.0,19.0,19.0,0.0,0.0,0.0,0.0,2.0,9.5
Daniel,s,0.0,19.0,19.0,0.0,0.0,0.0,0.0,2.0,9.5
Christopher,s,0.0,19.0,19.0,0.0,0.0,0.0,0.0,2.0,9.5
William,a,0.0,18.0,18.0,0.0,0.0,0.0,0.0,2.0,9.0
Bryan,a,0.0,18.0,18.0,0.0,0.0,0.0,0.0,2.0,9.0
Alexander,a,0.0,18.0,18.0,0.0,0.0,0.0,0.0,2.0,9.0
Alicia,a,0.0,18.0,18.0,0.0,0.0,0.0,0.0,2.0,9.0
Charles,a,0.0,18.0,18.0,0.0,0.0,0.0,0.0,2.0,9.0
Richard,a,0.0,18.0,18.0,0.0,0.0,0.0,0.0,2.0,9.0
Elizabeth,a,0.0,18.0,18.0,0.0,0.0,0.0,0.0,2.0,9.0
Gregory,a,0.0,18.0,18.0,0.0,0.0,0.0,0.0,2.0,9.0
Jennifer,s,0.0,18.0,18.0,0.0,0.0,0.0,0.0,2.0,9.0
Joshua,s,0.0,18.0,18.0,0.0,0.0,0.0,0.0,2.0,9.0
Robert,a,0.0,18.0,18.0,0.0,0.0,0.0,0.0,2.0,9.0
Amanda,s,0.0,18.0,18.0,0.0,0.0,0.0,0.0,2.0,9.0
James,a,0.0,18.0,18.0,0.0,0.0,0.0,0.0,2.0,9.0
Allison,a,0.0,17.0,17.0,0.0,0.0,0.0,0.0,2.0,8.5
Courtney,a,0.0,17.0,17.0,0.0,0.0,0.0,0.0,2.0,8.5
Christina,a,0.0,17.0,17.0,0.0,0.0,0.0,0.0,2.0,8.5
Thomas,a,0.0,17.0,17.0,0.0,0.0,0.0,0.0,2.0,8.5
Stephen,a,0.0,17.0,17.0,0.0,0.0,0.0,0.0,2.0,8.5
Amber,a,0.0,17.0,17.0,0.0,0.0,0.0,0.0,2.0,8.5
Melissa,a,0.0,17.0,17.0,0.0,0.0,0.0,0.0,2.0,8.5
Crystal,a,0.0,17.0,17.0,0.0,0.0,0.0,0.0,2.0,8.5
Christine,a,0.0,17.0,17.0,0.0,0.0,0.0,0.0,2.0,8.5
Shannon,a,0.0,17.0,17.0,0.0,0.0,0.0,0.0,2.0,8.5
David,s,0.0,17.0,17.0,0.0,0.0,0.0,0.0,2.0,8.5
Jesse,a,0.0,17.0,17.0,0.0,0.0,0.0,0.0,2.0,8.5
Sarah,a,0.0,17.0,17.0,0.0,0.0,0.0,0.0,2.0,8.5
Scott,a,0.0,17.0,17.0,0.0,0.0,0.0,0.0,2.0,8.5
Lisa,a,0.0,17.0,17.0,0.0,0.0,0.0,0.0,2.0,8.5
Aaron,a,0.0,17.0,17.0,0.0,0.0,0.0,0.0,2.0,8.5
Victoria,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Ronald,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
George,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Holly,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Alejandro,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Anna,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Shawn,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Bradley,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Vanessa,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Lindsay,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Katie,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Jose,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Kristen,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Raymond,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Jeffery,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Brandi,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Alex,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Kari,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Angel,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Lori,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Ana,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Dylan,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Abigail,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Ricky,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Colleen,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Carly,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Robin,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Caleb,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Neil,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Isaac,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Tabitha,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Krista,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Trisha,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Jorge,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Emmanuel,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Mitchell,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Mary,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Kellie,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Yolanda,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Sheila,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Carrie,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Clayton,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Alexis,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Maurice,b,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Amy,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Rachel,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Heather,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Brandon,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Lauren,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Jason,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Justin,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Laura,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Kyle,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Sean,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Emily,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Timothy,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Brian,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Anthony,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Benjamin,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Nicole,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Patrick,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Ryan,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Brittany,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
John,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Andrea,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Katherine,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Danielle,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Angela,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Eric,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Sara,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Kevin,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Andrew,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Joseph,a,0.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,8.0
Mayra,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Megan,a,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Summer,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Nikki,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Brad,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Johnathan,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Drew,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Micah,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Donna,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Eddie,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Miranda,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Jermaine,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Claire,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Desiree,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Jaclyn,b,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
Erica,a,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,7.5
