,name,Tier,level,total-exp,web-dev,soft-dev,game-dev,cyber-secu,elective,no-of-tests,avg
0,Michael,s,0,0,0,0,0,0,0,0,0
1,Christopher,s,0,0,0,0,0,0,0,0,0
2,Jessica,s,0,0,0,0,0,0,0,0,0
3,Matthew,s,0,0,0,0,0,0,0,0,0
4,Ashley,s,0,0,0,0,0,0,0,0,0
5,Jennifer,s,0,0,0,0,0,0,0,0,0
6,Joshua,s,0,0,0,0,0,0,0,0,0
7,Amanda,s,0,0,0,0,0,0,0,0,0
8,Daniel,s,0,0,0,0,0,0,0,0,0
9,David,s,0,0,0,0,0,0,0,0,0
10,James,a,0,0,0,0,0,0,0,0,0
11,Robert,a,0,0,0,0,0,0,0,0,0
12,John,a,0,0,0,0,0,0,0,0,0
13,Joseph,a,0,0,0,0,0,0,0,0,0
14,Andrew,a,0,0,0,0,0,0,0,0,0
15,Ryan,a,0,0,0,0,0,0,0,0,0
16,Brandon,a,0,0,0,0,0,0,0,0,0
17,Jason,a,0,0,0,0,0,0,0,0,0
18,Justin,a,0,0,0,0,0,0,0,0,0
19,Sarah,a,0,0,0,0,0,0,0,0,0
20,William,a,0,0,0,0,0,0,0,0,0
21,Jonathan,a,0,0,0,0,0,0,0,0,0
22,Stephanie,a,0,0,0,0,0,0,0,0,0
23,Brian,a,0,0,0,0,0,0,0,0,0
24,Nicole,a,0,0,0,0,0,0,0,0,0
25,Nicholas,a,0,0,0,0,0,0,0,0,0
26,Anthony,a,0,0,0,0,0,0,0,0,0
27,Heather,a,0,0,0,0,0,0,0,0,0
28,Eric,a,0,0,0,0,0,0,0,0,0
29,Elizabeth,a,0,0,0,0,0,0,0,0,0
30,Adam,a,0,0,0,0,0,0,0,0,0
31,Megan,a,0,0,0,0,0,0,0,0,0
32,Melissa,a,0,0,0,0,0,0,0,0,0
33,Kevin,a,0,0,0,0,0,0,0,0,0
34,Steven,a,0,0,0,0,0,0,0,0,0
35,Thomas,a,0,0,0,0,0,0,0,0,0
36,Timothy,a,0,0,0,0,0,0,0,0,0
37,Christina,a,0,0,0,0,0,0,0,0,0
38,Kyle,a,0,0,0,0,0,0,0,0,0
39,Rachel,a,0,0,0,0,0,0,0,0,0
40,Laura,a,0,0,0,0,0,0,0,0,0
41,Lauren,a,0,0,0,0,0,0,0,0,0
42,Amber,a,0,0,0,0,0,0,0,0,0
43,Brittany,a,0,0,0,0,0,0,0,0,0
44,Danielle,a,0,0,0,0,0,0,0,0,0
45,Richard,a,0,0,0,0,0,0,0,0,0
46,Kimberly,a,0,0,0,0,0,0,0,0,0
47,Jeffrey,a,0,0,0,0,0,0,0,0,0
48,Amy,a,0,0,0,0,0,0,0,0,0
49,Crystal,a,0,0,0,0,0,0,0,0,0
50,Michelle,a,0,0,0,0,0,0,0,0,0
51,Tiffany,a,0,0,0,0,0,0,0,0,0
52,Jeremy,a,0,0,0,0,0,0,0,0,0
53,Benjamin,a,0,0,0,0,0,0,0,0,0
54,Mark,a,0,0,0,0,0,0,0,0,0
55,Emily,a,0,0,0,0,0,0,0,0,0
56,Aaron,a,0,0,0,0,0,0,0,0,0
57,Charles,a,0,0,0,0,0,0,0,0,0
58,Rebecca,a,0,0,0,0,0,0,0,0,0
59,Jacob,a,0,0,0,0,0,0,0,0,0
60,Stephen,a,0,0,0,0,0,0,0,0,0
61,Patrick,a,0,0,0,0,0,0,0,0,0
62,Sean,a,0,0,0,0,0,0,0,0,0
